_id,Year,FSA,ANIMAL_TYPE,PRIMARY_BREED
85895,2025,M5P,DOG,GOLDEN RETR
85896,2024,M5P,DOG,GOLDEN RETR
85897,2025,M5P,DOG,POODLE STND
85898,2024,M5P,DOG,POODLE STND
85899,2025,M4C,DOG,DACHSHUND MIN
85900,2024,M4C,DOG,DACHSHUND MIN
85901,2025,M3A,DOG,YORKSHIRE TERR
85902,2023,M3A,DOG,GOLDEN RETR
85903,2025,M3A,DOG,GOLDEN RETR
85904,2024,M1C,DOG,YORKSHIRE TERR
85905,2025,M4G,DOG,AUST SHEPHERD
85906,2024,M4G,DOG,AUST SHEPHERD
85907,2024,M4K,DOG,KEESHOND
85908,2024,M2H,DOG,PARSON RUSS TER
85909,2023,M2H,DOG,PARSON RUSS TER
85910,2024,M5V,DOG,LABRADOR RETR
85911,2023,M5V,DOG,LABRADOR RETR
85912,2024,M5N,DOG,POODLE MIN
85913,2023,M1N,DOG,UNKNOWN
85914,2024,M6C,DOG,POODLE MIN
85915,2025,M6C,DOG,POODLE MIN
85916,2023,M5A,DOG,SCHNAUZER MIN
85917,2023,M6G,DOG,LABRADOR RETR
85918,2024,M6G,DOG,LABRADOR RETR
85919,2024,M8V,DOG,CHIHUAHUA SH
85920,2023,M8V,DOG,CHIHUAHUA SH
85921,2024,M2N,CAT,DOMESTIC SH
85922,2023,M2N,CAT,DOMESTIC SH
85923,2025,M6C,DOG,GOLDEN RETR
85924,2024,M6C,DOG,GOLDEN RETR
85925,2023,M9A,DOG,GOLDEN RETR
85926,2024,M9A,DOG,GOLDEN RETR
85927,2023,M5M,DOG,LABRADOR RETR
85928,2024,M1P,DOG,MALTESE
85929,2023,M6S,DOG,BULLMASTIFF
85930,2025,M6S,DOG,BULLMASTIFF
85931,2023,M8Y,CAT,DOMESTIC SH
85932,2025,M6S,DOG,IRISH SETTER
