_id,Year,FSA,ANIMAL_TYPE,PRIMARY_BREED
22039,2023,M8X,DOG,BULL TERRIER
22040,2024,M8X,DOG,BULL TERRIER
22041,2024,M9P,DOG,GOLDEN RETR
22042,2023,M6M,DOG,MIN PINSCHER
22043,2023,M6M,DOG,MIN PINSCHER
22044,2025,M5A,CAT,DOMESTIC SH
22045,2024,M3A,DOG,PARSON RUSS TER
22046,2024,M4J,DOG,MIN PINSCHER
22047,2023,M1N,DOG,GERM SHEPHERD
22048,2023,M4J,DOG,GOLDEN RETR
22049,2023,M4J,DOG,GOLDEN RETR
22050,2024,M4W,DOG,GOLDEN RETR
22051,2024,M4K,CAT,DEVON REX
22052,2023,M6K,DOG,BERNESE HOUND
22053,2024,M5V,DOG,SHIBA INU
22054,2023,M6S,DOG,WEIMARANER
22055,2023,M1V,DOG,GERM SHEPHERD
22056,2025,M6H,DOG,GERM SHEPHERD
22057,2023,M8V,DOG,GERM SHEPHERD
22058,2025,M6G,DOG,KUVASZ
22059,2023,M2J,DOG,ROTTWEILER
22060,2024,M6R,CAT,DOMESTIC SH
22061,2023,M9R,DOG,GERM SHEPHERD
22062,2025,M6S,DOG,LABRADOR RETR
22063,2023,M6C,DOG,ENG SPRNGR SPAN
22064,2025,M4L,DOG,SHIH TZU
22065,2024,M8X,DOG,CHIHUAHUA SH
22066,2023,M1W,DOG,COLLIE ROUGH
22067,2025,M6G,DOG,BOSTON TERRIER
22068,2024,M6S,DOG,YORKSHIRE TERR
22069,2024,M3C,CAT,DOMESTIC SH
22070,2023,M6R,CAT,DOMESTIC MH
22071,2023,M6R,CAT,DOMESTIC LH
22072,2024,M1J,CAT,DOMESTIC SH
22073,2023,M1E,DOG,GREAT DANE
22074,2025,M5V,DOG,AUST CATTLE DOG
22075,2025,M5V,DOG,BICHON FRISE
22076,2023,M5A,CAT,DOMESTIC SH
22077,2025,M4P,CAT,DOMESTIC SH
22078,2023,M2N,CAT,DOMESTIC LH
22079,2023,M1J,DOG,CHIHUAHUA SH
22080,2025,M4K,DOG,BERNESE MTN DOG
22081,2024,M4N,DOG,PORT WATER DOG
22082,2025,M1L,DOG,SAMOYED
22083,2024,M4G,DOG,POODLE STND
22084,2025,M4C,DOG,LABRADOR RETR
22085,2023,M6K,DOG,SC WHEAT TERR
22086,2025,M6E,DOG,CAVALIER SPAN
22087,2024,M5P,DOG,HAVANESE
22088,2024,M4S,DOG,BICHON FRISE
22089,2024,M6S,DOG,GOLDEN RETR
22090,2023,M5V,DOG,DOBERMAN PINSCH
22091,2024,M5M,DOG,LABRADOR RETR
22092,2023,M5P,DOG,SHIH TZU
22093,2025,M9P,DOG,SHIH TZU
22094,2024,M4B,DOG,SHIH TZU
22095,2025,M9W,DOG,DOBERMAN PINSCH
22096,2024,M8Y,DOG,BOSTON TERRIER
22097,2025,M4S,DOG,GOLDEN RETR
22098,2025,M1V,DOG,LABRADOR RETR
22099,2023,M8V,DOG,ENG COCKER SPAN
22100,2024,M4G,DOG,LABRADOR RETR
22101,2025,M4J,DOG,BORDER COLLIE
22102,2025,M9C,DOG,GOLDEN RETR
22103,2024,M5S,DOG,NORFOLK TERRIER
22104,2023,M2N,DOG,WEST HIGHLAND
22105,2024,M6G,DOG,BEAGLE
22106,2024,M4V,DOG,BICHON FRISE
22107,2025,M6E,DOG,COCKER SPAN
22108,2023,M8X,DOG,BERNESE MTN DOG
22109,2024,M6L,DOG,SHIH TZU
22110,2023,M3M,DOG,SHIH TZU
22111,2024,M4C,DOG,GERM SHEPHERD
22112,2023,M6R,DOG,COCKER SPAN
22113,2023,M3J,CAT,DOMESTIC SH
22114,2023,M5M,DOG,LABRADOR RETR
22115,2023,M1R,DOG,PARSON RUSS TER
22116,2025,M1P,DOG,LABRADOR RETR
22117,2025,M2J,CAT,DOMESTIC SH
22118,2024,M1E,DOG,HOUND
22119,2024,M2M,DOG,POMERANIAN
22120,2025,M2N,DOG,BEAGLE
22121,2023,M8Y,DOG,GOLDEN RETR
22122,2024,M4G,DOG,LABRADOR RETR
22123,2023,M4C,DOG,CHIHUAHUA SH
22124,2023,M4C,DOG,DACHSHUND
22125,2025,M4N,DOG,LABRADOR RETR
22126,2023,M6M,DOG,YORKSHIRE TERR
22127,2024,M8W,DOG,BORDER COLLIE
22128,2025,M3A,DOG,ENG SPRNGR SPAN
22129,2024,M6H,DOG,SHIH TZU
22130,2023,M8V,DOG,GOLDEN RETR
22131,2023,M9B,DOG,LABRADOR RETR
22132,2023,M1E,DOG,WEST HIGHLAND
22133,2023,M6P,DOG,LABRADOR RETR
22134,2024,M8Z,DOG,SHIH TZU
22135,2025,M3H,DOG,SHIH TZU
22136,2023,M1V,DOG,GOLDEN RETR
22137,2023,M1W,DOG,SIBERIAN HUSKY
22138,2025,M9V,DOG,COCKER SPAN
22139,2023,M4E,DOG,BEAGLE
22140,2024,M9R,DOG,GOLDEN RETR
22141,2023,M6G,DOG,BOXER
22142,2025,M8V,DOG,YORKSHIRE TERR
22143,2024,M4Y,DOG,DOBERMAN PINSCH
22144,2025,M6R,DOG,SIBERIAN HUSKY
22145,2024,M4V,DOG,BASENJI
22146,2024,M8V,CAT,DOMESTIC SH
22147,2024,M1E,DOG,PARSON RUSS TER
22148,2023,M9B,DOG,SHIH TZU
22149,2025,M9B,DOG,SHIH TZU
22150,2023,M5R,DOG,ENG COCKER SPAN
22151,2023,M3H,DOG,WEST HIGHLAND
22152,2023,M1T,DOG,AUST SHEPHERD
22153,2023,M6N,DOG,YORKSHIRE TERR
22154,2023,M6P,DOG,LABRADOR RETR
22155,2025,M5A,DOG,ROTTWEILER
22156,2024,M4X,CAT,DOMESTIC SH
22157,2024,M3H,DOG,POODLE TOY
22158,2023,M9P,CAT,DOMESTIC LH
22159,2023,M4N,DOG,WEST HIGHLAND
22160,2023,M6S,DOG,SHIH TZU
22161,2023,M1N,DOG,AUST SHEPHERD
22162,2024,M6N,DOG,BICHON FRISE
22163,2023,M6L,DOG,CHIHUAHUA
22164,2025,M4G,DOG,POODLE MIN
22165,2024,M9C,DOG,COCKER SPAN
22166,2024,M5R,CAT,DOMESTIC SH
22167,2024,M5P,DOG,COCKER SPAN
22168,2023,M1T,DOG,CHIHUAHUA SH
22169,2025,M4X,CAT,DOMESTIC SH
22170,2025,M4X,CAT,DOMESTIC SH
22171,2024,M1L,CAT,DOMESTIC MH
22172,2023,M3B,DOG,GOLDEN RETR
22173,2023,M2M,CAT,PERSIAN
22174,2024,M6J,DOG,SHIH TZU
22175,2024,M1E,DOG,MALTESE
22176,2023,M6M,DOG,MALTESE
22177,2023,M6C,CAT,DOMESTIC SH
22178,2025,M9W,DOG,BEAGLE
22179,2023,M1E,DOG,ROTTWEILER
22180,2024,M8V,DOG,SHIH TZU
22181,2024,M6P,DOG,BORDER COLLIE
22182,2025,M6P,DOG,BORDER COLLIE
22183,2024,M6H,DOG,COCKER SPAN
22184,2025,M6E,DOG,ROTTWEILER
22185,2024,M6P,DOG,YORKSHIRE TERR
22186,2023,M9N,DOG,SIBERIAN HUSKY
22187,2025,M1K,CAT,DOMESTIC SH
22188,2024,M6C,DOG,LABRADOR RETR
22189,2023,M4B,DOG,ENG SPRNGR SPAN
22190,2023,M4K,DOG,PARSON RUSS TER
22191,2023,M4K,DOG,BORDER TERRIER
22192,2023,M2J,DOG,BICHON FRISE
22193,2023,M5N,DOG,POODLE STND
22194,2024,M5P,DOG,GOLDEN RETR
22195,2025,M6H,DOG,BOSTON TERRIER
22196,2025,M6N,CAT,DOMESTIC SH
22197,2024,M6P,CAT,DOMESTIC SH
22198,2024,M6P,CAT,DOMESTIC SH
22199,2023,M5M,DOG,WEST HIGHLAND
22200,2024,M6H,DOG,AUST CATTLE DOG
22201,2025,M3B,DOG,BICHON FRISE
22202,2024,M1T,DOG,WELSH CORGI PEM
22203,2025,M1W,DOG,SHIH TZU
22204,2025,M9B,DOG,COLLIE SMOOTH
22205,2023,M6M,DOG,GOLDEN RETR
22206,2025,M8V,DOG,POLISH LOWLAND
22207,2023,M6J,DOG,LABRADOR RETR
22208,2024,M6G,DOG,PORT WATER DOG
22209,2024,M6M,DOG,SIBERIAN HUSKY
22210,2025,M3B,CAT,RAGDOLL
22211,2024,M4T,CAT,DOMESTIC SH
22212,2024,M9B,CAT,DOMESTIC SH
22213,2023,M8V,DOG,PARSON RUSS TER
22214,2023,M5N,DOG,BOSTON TERRIER
22215,2023,M5B,DOG,VIZSLA
22216,2024,M1P,DOG,AMER ESKIMO
22217,2024,M1H,DOG,BICHON FRISE
22218,2023,M2L,DOG,GERM SHEPHERD
22219,2024,M9A,CAT,DOMESTIC SH
22220,2023,M4V,CAT,DOMESTIC SH
22221,2024,M6R,DOG,LABRADOR RETR
22222,2024,M6M,DOG,BEAGLE
22223,2023,M9M,DOG,ROTTWEILER
22224,2023,M9C,DOG,GOLDEN RETR
22225,2023,M3A,DOG,BORDER COLLIE
22226,2024,M9W,DOG,BICHON FRISE
22227,2025,M9R,DOG,CAVALIER SPAN
22228,2024,M9V,DOG,SCHNAUZER MIN
22229,2025,M1E,DOG,PARSON RUSS TER
22230,2024,M2J,DOG,MALTESE
22231,2024,M1M,CAT,DOMESTIC SH
22232,2023,M1R,CAT,DOMESTIC LH
22233,2023,M9W,DOG,GERM SH POINT
22234,2025,M6P,DOG,AUST SHEPHERD
22235,2025,M8X,DOG,BERNESE MTN DOG
22236,2023,M8V,DOG,NEWFOUNDLAND
22237,2025,M3C,DOG,POODLE MIN
22238,2023,M5T,DOG,ROTTWEILER
22239,2024,M6C,CAT,DOMESTIC SH
22240,2023,M5M,CAT,DOMESTIC SH
22241,2023,M9B,CAT,DOMESTIC SH
22242,2024,M4X,CAT,DOMESTIC SH
22243,2024,M1E,CAT,DOMESTIC SH
22244,2023,M6N,DOG,GERM SHEPHERD
22245,2025,M4V,DOG,GOLDEN RETR
22246,2025,M1P,DOG,BOSTON TERRIER
22247,2025,M9V,DOG,MALTESE
22248,2023,M2J,CAT,DOMESTIC SH
22249,2024,M4J,CAT,DOMESTIC SH
22250,2024,M1B,CAT,DOMESTIC SH
22251,2025,M5P,DOG,DACHSHUND MIN
22252,2023,M6N,DOG,LABRADOR RETR
22253,2025,M5P,DOG,PORT WATER DOG
22254,2023,M6S,CAT,DOMESTIC SH
22255,2025,M4J,CAT,DOMESTIC SH
22256,2023,M1B,CAT,DOMESTIC SH
22257,2023,M4C,DOG,SIBERIAN HUSKY
22258,2024,M4L,DOG,BEAGLE
22259,2024,M8Y,DOG,BEAGLE
22260,2023,M6S,DOG,GERM SH POINT
22261,2024,M9C,DOG,COCKER SPAN
22262,2025,M6P,DOG,SCHNAUZER MIN
22263,2023,M2K,DOG,POODLE MIN
22264,2023,M6N,DOG,SHIH TZU
22265,2023,M4L,DOG,POODLE STND
22266,2023,M4E,CAT,DOMESTIC SH
22267,2025,M5R,CAT,DOMESTIC SH
22268,2024,M6P,CAT,DOMESTIC MH
22269,2023,M2J,CAT,DOMESTIC SH
22270,2025,M4G,DOG,GOLDEN RETR
22271,2024,M6P,DOG,LABRADOR RETR
22272,2023,M1W,DOG,LABRADOR RETR
22273,2023,M9R,DOG,GOLDEN RETR
22274,2025,M3H,CAT,DOMESTIC SH
22275,2024,M1L,DOG,MALTESE
22276,2025,M3A,CAT,DOMESTIC SH
22277,2025,M6K,CAT,DOMESTIC SH
22278,2024,M9B,DOG,SIBERIAN HUSKY
22279,2023,M6J,DOG,DACHSHUND MIN
22280,2023,M8V,DOG,MALTESE
22281,2023,M3A,DOG,YORKSHIRE TERR
22282,2025,M9B,CAT,DOMESTIC LH
22283,2024,M4N,DOG,LABRADOR RETR
22284,2025,M1B,CAT,DOMESTIC SH
22285,2024,M6N,CAT,DOMESTIC MH
22286,2023,M6R,DOG,GOLDEN RETR
22287,2025,M8V,DOG,BEAGLE
22288,2023,M9A,DOG,PORT WATER DOG
22289,2023,M6M,DOG,CHIHUAHUA SH
22290,2024,M5P,DOG,YORKSHIRE TERR
22291,2025,M5M,DOG,WH PT GRIFFON
22292,2025,M1H,DOG,SCHNAUZER MIN
22293,2023,M2H,CAT,DOMESTIC SH
22294,2023,M6G,DOG,GERM SHEPHERD
22295,2023,M2N,DOG,COCKER SPAN
22296,2023,M2N,DOG,COCKER SPAN
22297,2023,M4P,DOG,PORT WATER DOG
22298,2023,M6C,DOG,POMERANIAN
22299,2024,M6P,CAT,DOMESTIC SH
22300,2023,M3A,DOG,PARSON RUSS TER
22301,2023,M3A,DOG,ROTTWEILER
22302,2025,M4V,DOG,LABRADOR RETR
22303,2024,M6J,DOG,POMERANIAN
22304,2023,M1C,DOG,MALTESE
22305,2024,M4S,CAT,DOMESTIC SH
22306,2024,M4M,DOG,LABRADOR RETR
22307,2023,M9A,DOG,CAVALIER SPAN
22308,2023,M4V,DOG,GOLDEN RETR
22309,2024,M8V,DOG,LABRADOR RETR
22310,2025,M5V,DOG,LABRADOR RETR
22311,2025,M5M,DOG,POODLE STND
22312,2023,M6M,DOG,BICHON FRISE
22313,2025,M1C,DOG,BEAGLE
22314,2024,M4L,CAT,DOMESTIC SH
22315,2025,M9P,CAT,DOMESTIC SH
22316,2025,M4L,CAT,DOMESTIC SH
22317,2024,M9B,DOG,AUST SHEPHERD
22318,2023,M1C,DOG,SHIH TZU
22319,2023,M6S,CAT,DOMESTIC SH
22320,2025,M1T,DOG,SHIH TZU
22321,2025,M6S,DOG,BEAGLE
22322,2023,M1H,DOG,GERM SHEPHERD
22323,2025,M6P,DOG,GOLDEN RETR
22324,2023,M9R,DOG,ROTTWEILER
22325,2024,M6B,DOG,LABRADOR RETR
22326,2023,M6S,DOG,BRITTANY
22327,2024,M6R,DOG,GOLDEN RETR
22328,2023,M4N,DOG,COCKER SPAN
22329,2024,M4J,DOG,PORT WATER DOG
22330,2024,M3A,DOG,YORKSHIRE TERR
22331,2023,M6E,CAT,DOMESTIC SH
22332,2025,M5R,CAT,DOMESTIC LH
22333,2025,M5R,CAT,DOMESTIC SH
22334,2025,M2P,DOG,HAVANESE
22335,2024,M3K,DOG,SIBERIAN HUSKY
22336,2025,M6E,DOG,AKITA
22337,2023,M4G,DOG,LABRADOR RETR
22338,2023,M6S,DOG,CHOW CHOW
22339,2024,M9A,DOG,FRENCH BULLDOG
22340,2025,M4A,DOG,CHIHUAHUA SH
22341,2023,M2H,DOG,BASENJI
22342,2024,M8W,CAT,DOMESTIC SH
22343,2025,M5M,DOG,COCKER SPAN
22344,2025,M4R,DOG,CHIHUAHUA SH
22345,2023,M6B,CAT,DOMESTIC SH
22346,2025,M8V,DOG,SCHNAUZER MIN
22347,2023,M6P,DOG,CHIHUAHUA SH
22348,2025,M5A,DOG,FOX TERR SMOOTH
22349,2024,M6N,DOG,BEAGLE
22350,2024,M6C,DOG,FRENCH BULLDOG
22351,2023,M6S,DOG,COCKER SPAN
22352,2024,M1B,DOG,SIBERIAN HUSKY
22353,2025,M8X,DOG,BICHON FRISE
22354,2023,M1M,DOG,GERM SH POINT
22355,2025,M6H,DOG,CAIRN TERRIER
22356,2025,M5M,DOG,POODLE MIN
22357,2024,M3J,DOG,COCKER SPAN
22358,2025,M1S,CAT,DOMESTIC LH
22359,2024,M3C,DOG,FRENCH BULLDOG
22360,2025,M1L,DOG,SHETLD SHEEPDOG
22361,2023,M4B,DOG,PUG
22362,2023,M1L,DOG,CHIHUAHUA SH
22363,2024,M2N,DOG,SHIBA INU
22364,2023,M5P,DOG,GERM SHEPHERD
22365,2025,M4P,CAT,DOMESTIC SH
22366,2025,M8W,CAT,DOMESTIC SH
22367,2023,M9W,CAT,DOMESTIC SH
22368,2025,M4Y,CAT,DOMESTIC SH
22369,2025,M4M,CAT,DOMESTIC SH
22370,2024,M6H,CAT,DOMESTIC SH
22371,2023,M4C,DOG,GERM SHEPHERD
22372,2023,M1L,DOG,LABRADOR RETR
22373,2023,M6E,DOG,YORKSHIRE TERR
22374,2025,M8V,DOG,GOLDEN RETR
22375,2023,M6S,DOG,GOLDEN RETR
22376,2023,M6R,DOG,SIBERIAN HUSKY
22377,2025,M4P,DOG,IRISH TERRIER
22378,2025,M1C,CAT,DOMESTIC SH
22379,2023,M1L,CAT,DOMESTIC SH
22380,2023,M1B,DOG,BICHON FRISE
22381,2023,M6N,DOG,PODENGO PEQUENO
22382,2025,M6N,DOG,LABRADOR RETR
22383,2023,M6R,DOG,WELSH CORGI PEM
22384,2024,M4S,DOG,LABRADOR RETR
22385,2023,M2R,DOG,WEST HIGHLAND
22386,2024,M2M,DOG,SHIH TZU
22387,2024,M2M,DOG,SHIH TZU
22388,2025,M6C,DOG,LEONBERGER
22389,2023,M6G,DOG,POODLE STND
22390,2024,M9R,DOG,LABRADOR RETR
22391,2023,M3M,DOG,AUST CATTLE DOG
22392,2023,M6G,DOG,LABRADOR RETR
22393,2024,M2M,DOG,POODLE STND
22394,2025,M6L,DOG,YORKSHIRE TERR
22395,2024,M1V,DOG,BICHON FRISE
22396,2023,M4M,DOG,PORT WATER DOG
22397,2024,M5H,DOG,LABRADOR RETR
22398,2023,M9B,DOG,AMER BULLDOG
22399,2025,M4S,DOG,HAVANESE
22400,2024,M5A,DOG,BERNESE MTN DOG
22401,2023,M5M,DOG,CAVALIER SPAN
22402,2024,M4M,CAT,DOMESTIC SH
22403,2023,M4L,DOG,AIREDALE TERR
22404,2024,M1P,DOG,PUG
22405,2025,M8X,DOG,LABRADOR RETR
22406,2024,M4M,DOG,POODLE STND
22407,2025,M3L,DOG,COCKER SPAN
22408,2024,M6K,DOG,RAT TERRIER
22409,2023,M9B,DOG,SHETLD SHEEPDOG
22410,2025,M5M,DOG,DACHSHUND
22411,2023,M8X,DOG,SC WHEAT TERR
22412,2025,M4V,DOG,BELG MALINOIS
22413,2024,M4K,DOG,LABRADOR RETR
22414,2025,M4K,DOG,SHIH TZU
22415,2024,M4K,CAT,DOMESTIC SH
22416,2024,M4K,CAT,DOMESTIC SH
22417,2023,M9A,DOG,LABRADOR RETR
22418,2023,M9L,DOG,MALTESE
22419,2024,M6H,DOG,AUST CATTLE DOG
22420,2025,M8W,DOG,CAVALIER SPAN
22421,2024,M6R,DOG,GOLDEN RETR
22422,2025,M6J,DOG,GANARASKAN
22423,2024,M6N,DOG,DOGO ARGENTINO
22424,2025,M6S,DOG,HAVANESE
22425,2024,M2P,DOG,LABRADOR RETR
22426,2025,M4B,CAT,DOMESTIC SH
22427,2024,M1E,DOG,GOLDEN RETR
22428,2025,M6J,DOG,AUST SHEPHERD
22429,2023,M6S,DOG,SCHNAUZER STAND
22430,2024,M6H,CAT,DOMESTIC SH
22431,2024,M5V,DOG,YORKSHIRE TERR
22432,2023,M4X,DOG,BICHON FRISE
22433,2023,M3H,CAT,DOMESTIC SH
22434,2023,M4L,DOG,LABRADOR RETR
22435,2023,M4L,DOG,SHETLD SHEEPDOG
22436,2023,M4Y,DOG,YORKSHIRE TERR
22437,2025,M1S,DOG,ALASK MALAMUTE
22438,2023,M4C,DOG,PATTERDALE TERR
22439,2023,M6M,CAT,DOMESTIC MH
22440,2024,M6N,CAT,DOMESTIC SH
22441,2023,M1C,DOG,SHIH TZU
22442,2024,M4V,DOG,LABRADOR RETR
22443,2024,M6H,CAT,DOMESTIC SH
22444,2023,M1T,CAT,DOMESTIC SH
22445,2025,M1L,DOG,POODLE MIN
22446,2023,M6E,DOG,CHIHUAHUA LH
22447,2024,M6C,CAT,DOMESTIC SH
22448,2023,M8V,DOG,SHIH TZU
22449,2024,M9A,DOG,LABRADOR RETR
22450,2023,M3N,DOG,ROTTWEILER
22451,2023,M4L,CAT,DOMESTIC MH
22452,2025,M6K,CAT,DOMESTIC SH
22453,2023,M1S,CAT,DOMESTIC MH
22454,2025,M1E,CAT,DOMESTIC MH
22455,2024,M4E,CAT,DOMESTIC SH
22456,2023,M9M,CAT,DOMESTIC SH
22457,2023,M6S,DOG,LABRADOR RETR
22458,2024,M5P,CAT,DOMESTIC SH
22459,2025,M6N,DOG,BOSTON TERRIER
22460,2025,M6C,DOG,GOLDEN RETR
22461,2025,M6M,DOG,SHIH TZU
22462,2023,M4G,DOG,COCKER SPAN
22463,2023,M3L,DOG,PARSON RUSS TER
22464,2024,M3B,CAT,DOMESTIC SH
22465,2025,M6B,DOG,WEST HIGHLAND
22466,2024,M6B,DOG,BEAGLE
22467,2024,M9N,CAT,DOMESTIC SH
22468,2024,M4C,CAT,DOMESTIC MH
22469,2023,M1K,DOG,YORKSHIRE TERR
22470,2025,M1W,DOG,SHIH TZU
22471,2024,M4K,DOG,GOLDEN RETR
22472,2024,M1E,CAT,DOMESTIC SH
22473,2025,M4E,DOG,PARSON RUSS TER
22474,2023,M6G,CAT,DOMESTIC MH
22475,2023,M4K,DOG,COCKER SPAN
22476,2025,M4M,DOG,COCKER SPAN
22477,2023,M4C,DOG,BEARDED COLLIE
22478,2023,M1S,DOG,BORDER COLLIE
22479,2024,M1E,DOG,GOLDEN RETR
22480,2023,M4K,DOG,POODLE STND
22481,2023,M9V,DOG,YORKSHIRE TERR
22482,2025,M5M,CAT,DOMESTIC SH
22483,2024,M3L,DOG,PUG
22484,2024,M9N,DOG,DALMATIAN
22485,2023,M3A,DOG,NEWFOUNDLAND
22486,2023,M4C,DOG,GERM SHEPHERD
22487,2025,M4C,DOG,LEONBERGER
22488,2023,M4S,DOG,SIBERIAN HUSKY
22489,2025,M4K,DOG,PARSON RUSS TER
22490,2024,M2H,DOG,NS DUCK TOLLING
22491,2024,M2H,DOG,MINIATURE POODL
22492,2025,M8W,DOG,SHIH TZU
22493,2024,M6C,CAT,DOMESTIC SH
22494,2024,M2H,DOG,LABRADOR RETR
22495,2024,M8Y,DOG,SAMOYED
22496,2023,M9C,DOG,CAIRN TERRIER
22497,2023,M1G,DOG,CHIHUAHUA SH
22498,2024,M5P,DOG,LABRADOR RETR
22499,2025,M9C,DOG,SCHNAUZER STAND
22500,2025,M6S,DOG,BOXER
22501,2024,M4J,DOG,LABRADOR RETR
22502,2024,M4W,DOG,WHIPPET
22503,2023,M1L,DOG,BERNESE MTN DOG
22504,2023,M4S,DOG,GOLDEN RETR
22505,2024,M5A,DOG,WHIPPET
22506,2023,M4N,DOG,SIBERIAN HUSKY
22507,2025,M4L,DOG,COCKER SPAN
22508,2024,M6M,CAT,DOMESTIC SH
22509,2024,M6M,CAT,DOMESTIC SH
22510,2024,M4X,DOG,BASSET HOUND
22511,2023,M9C,DOG,GOLDEN RETR
22512,2023,M3N,CAT,DOMESTIC MH
22513,2023,M3N,DOG,CHOW CHOW
22514,2023,M1E,DOG,GERM SHEPHERD
22515,2023,M4L,DOG,SIBERIAN HUSKY
22516,2023,M9C,DOG,PARSON RUSS TER
22517,2024,M5P,DOG,HAVANESE
22518,2024,M9C,DOG,SHIH TZU
22519,2023,M5A,DOG,LABRADOR RETR
22520,2024,M1L,CAT,DOMESTIC SH
22521,2025,M8X,DOG,GOLDEN RETR
22522,2023,M1J,CAT,DOMESTIC SH
22523,2025,M6R,DOG,BERNESE MTN DOG
22524,2023,M9C,DOG,VIZSLA
22525,2023,M4S,DOG,GOLDEN RETR
22526,2024,M4E,CAT,DOMESTIC SH
22527,2023,M4M,DOG,POODLE MIN
22528,2025,M3B,DOG,HAVANESE
22529,2024,M1P,CAT,DOMESTIC MH
22530,2023,M4T,CAT,DOMESTIC SH
22531,2025,M4E,CAT,DOMESTIC MH
22532,2023,M4E,CAT,SCOTTISH FOLD
22533,2025,M5P,DOG,ENG COCKER SPAN
22534,2023,M1V,CAT,DOMESTIC SH
22535,2023,M1V,CAT,DOMESTIC SH
22536,2025,M4B,DOG,RHOD RIDGEBACK
22537,2024,M2N,DOG,FRENCH BULLDOG
22538,2024,M5C,CAT,DOMESTIC MH
22539,2023,M3A,DOG,SAMOYED
22540,2023,M4E,DOG,PICARDY SHEEPDG
22541,2023,M9C,DOG,GERM SHEPHERD
22542,2025,M6J,DOG,LABRADOR RETR
22543,2024,M4B,CAT,DOMESTIC SH
22544,2024,M4B,CAT,DOMESTIC SH
22545,2023,M1E,DOG,MALTESE
22546,2023,M9R,DOG,COCKER SPAN
22547,2023,M9C,DOG,AUST SHEPHERD
22548,2023,M1L,CAT,SIAMESE
22549,2023,M4G,CAT,DOMESTIC SH
22550,2023,M4L,CAT,DOMESTIC SH
22551,2023,M1R,DOG,AMER BULLDOG
22552,2024,M2R,CAT,DOMESTIC SH
22553,2024,M2R,CAT,DOMESTIC SH
22554,2025,M8W,CAT,DOMESTIC LH
22555,2023,M1E,CAT,SIAMESE
22556,2023,M2J,DOG,NORW ELKHOUND
22557,2024,M1N,DOG,CAVALIER SPAN
22558,2024,M4S,CAT,DOMESTIC SH
22559,2024,M9P,DOG,BORDER COLLIE
22560,2025,M1R,DOG,GOLDEN RETR
22561,2024,M6C,DOG,POODLE MIN
22562,2023,M1M,CAT,DOMESTIC LH
22563,2023,M1B,DOG,GOLDEN RETR
22564,2023,M1C,DOG,SHIH TZU
22565,2024,M3M,DOG,AUST SHEPHERD
22566,2025,M1S,DOG,SHIH TZU
22567,2025,M9C,CAT,MAINE COON
22568,2025,M5S,DOG,SHIH TZU
22569,2025,M6J,CAT,DOMESTIC SH
22570,2025,M6J,CAT,DOMESTIC SH
22571,2023,M4J,DOG,LABRADOR RETR
22572,2024,M5A,DOG,LABRADOR RETR
22573,2024,M9A,DOG,CATAHOULA
22574,2024,M9P,DOG,GERM SH POINT
22575,2023,M5C,DOG,BORDER TERRIER
22576,2025,M1B,CAT,SCOTTISH FOLD
22577,2023,M1S,DOG,BERNESE MTN DOG
22578,2024,M9P,CAT,DOMESTIC SH
22579,2023,M2R,DOG,LABRADOR RETR
22580,2025,M6N,DOG,COCKER SPAN
22581,2024,M6K,DOG,BASENJI
22582,2023,M4B,DOG,DOBERMAN PINSCH
22583,2023,M8X,DOG,PORT WATER DOG
22584,2025,M9B,DOG,LABRADOR RETR
22585,2023,M5P,DOG,BERNESE MTN DOG
22586,2024,M6K,CAT,DOMESTIC SH
22587,2023,M9B,DOG,BEAGLE
22588,2025,M4R,CAT,DOMESTIC SH
22589,2023,M5M,DOG,WEST HIGHLAND
22590,2023,M6J,DOG,SHETLD SHEEPDOG
22591,2024,M2N,CAT,DOMESTIC SH
22592,2024,M8V,DOG,BORDER COLLIE
22593,2025,M1L,DOG,FINNISH SPITZ
22594,2024,M1E,CAT,DOMESTIC SH
22595,2023,M6G,CAT,SIAMESE
22596,2023,M4L,DOG,AUST SHEPHERD
22597,2023,M3H,DOG,LABRADOR RETR
22598,2025,M6G,CAT,DOMESTIC SH
22599,2023,M6E,CAT,DOMESTIC MH
22600,2023,M6S,DOG,GOLDEN RETR
22601,2024,M5T,DOG,LABRADOR RETR
22602,2025,M5P,DOG,OLDENG SHEEPDOG
22603,2025,M5R,DOG,SHIH TZU
22604,2024,M9V,DOG,LABRADOR RETR
22605,2023,M6P,DOG,LABRADOR RETR
22606,2023,M8X,CAT,DOMESTIC MH
22607,2023,M9P,DOG,PULI
22608,2023,M9P,DOG,PULI
22609,2025,M6S,DOG,PORT WATER DOG
22610,2024,M6S,DOG,BOUV FLANDRES
22611,2023,M4B,DOG,GOLDEN RETR
22612,2023,M4W,DOG,WHIPPET
22613,2023,M4W,DOG,WHIPPET
22614,2024,M4G,DOG,COCKER SPAN
22615,2023,M5M,DOG,PORT WATER DOG
22616,2024,M4W,DOG,GANARASKAN
22617,2023,M5A,DOG,BORDER COLLIE
22618,2025,M6P,DOG,AUST SHEPHERD
22619,2023,M6L,DOG,GERM SHEPHERD
22620,2023,M6B,DOG,BEAGLE
22621,2023,M4R,DOG,CHESA BAY RETR
22622,2024,M4A,CAT,DOMESTIC SH
22623,2023,M9N,CAT,DOMESTIC SH
22624,2025,M9N,CAT,DOMESTIC LH
