_id,objectid,locationid,asset_id,location_name,address,hours,url,comm_dog_walkers_allowed,fenced_perimeter,lit_area,small_dog_area,surface_material,nearby_drinking_water_source,nearby_drinking_water_source_ty,hours_of_operation,area_sqm,features,geometry
58,176,1431,67422,Grange Park,26 Grange Rd,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=1431,No,Full,Yes,No,Engineered Wood Fibre,Yes,Bottle Filling Station,Park hours,591,None,"{""coordinates"": [[-79.3923629418935, 43.652055106761]], ""type"": ""MultiPoint""}"
59,177,183,101627,St. Andrew's Playground,450 Adelaide St W,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=183,No,Full,Yes,No,Synthetic K-9 Turf,Yes,Bottle Filling Station,6 a.m. to midnight,859,None,"{""coordinates"": [[-79.399417476534, 43.6462789461493]], ""type"": ""MultiPoint""}"
60,178,137,2837,Baird Park,275 Keele St,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=137,No,Full,No,No,Engineered Wood Fibre,Yes,Drinking Fountain,7 a.m. to 10 p.m.,902,None,"{""coordinates"": [[-79.4621864986678, 43.6624776609317]], ""type"": ""MultiPoint""}"
61,179,707,76287,McCowan Park,475 Mccowan Rd,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=707,Yes,Full,No,Yes,Grass,None,None,Park hours,4703,None,"{""coordinates"": [[-79.2401524487234, 43.7446700203999]], ""type"": ""MultiPoint""}"
62,180,75,2816,Hideaway Park,23 Audley Ave,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=75,No,Full,Yes,No,Pea Gravel,Yes,Dog Fountain,7 a.m. to 11 p.m.,480,None,"{""coordinates"": [[-79.3378474247418, 43.6649902217857]], ""type"": ""MultiPoint""}"
63,181,1065,45542,Frank Faubert Wood Lot,185 Borough Dr,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=1065,Yes,Full,No,No,Grass,None,None,7 a.m. to 10 p.m.,1351,None,"{""coordinates"": [[-79.2572109298388, 43.7715557423106]], ""type"": ""MultiPoint""}"
64,182,250,2830,Vermont Square Park,819 Palmerston Ave,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=250,Yes,None,Yes,No,Grass,Yes,"Drinking Fountain, Dog Fountain","June 1 to Sept 30
6 a.m. to 9 a.m. 
& 8 p.m. to 11 p.m.;

Oct 1 to May 31
6:30 a.m. to 9 a.m. 
& 6:30 p.m. to 11 p.m.",1240,None,"{""coordinates"": [[-79.4150847745683, 43.6704103007735]], ""type"": ""MultiPoint""}"
65,183,167,72622,Ramsden Park,1020 Yonge St,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=167,No,Full,Yes,Yes,Engineered Wood Fibre,Yes,"Drinking Fountain, Dog Fountain",7 a.m. to 11 p.m.,2372,None,"{""coordinates"": [[-79.3960294921135, 43.6764824164298]], ""type"": ""MultiPoint""}"
66,184,79,2814,Hillcrest Park,950 Davenport Rd,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=79,No,Partial,No,No,"Grass, Dirt",Yes,Dog Fountain,"Nov 1 to Mar 31
6 a.m. to 11 p.m.;

Apr 1 to Oct 31 
6 a.m. to 9 a.m. 
& 8 p.m. to 11 p.m.",1888,None,"{""coordinates"": [[-79.4242249462186, 43.6762908292425]], ""type"": ""MultiPoint""}"
67,185,288,2849,Wildwood Crescent Playground,110 Wildwood Cres,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=288,No,Full,No,No,Engineered Wood Fibre,Yes,Dog Fountain,Park hours,1486,None,"{""coordinates"": [[-79.3124277123856, 43.6813351800215]], ""type"": ""MultiPoint""}"
68,186,1448,71342,Woolner Park,735 Jane St,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=1448,No,Full,Yes ,No,Grass,None,None,6 a.m. to 10 p.m.,3056,None,"{""coordinates"": [[-79.4918489581159, 43.6714677194969]], ""type"": ""MultiPoint""}"
69,187,2788,45644,Regent Park,600 Dundas St E,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2788,No,Full,Yes,No,Pea Gravel,Yes,"Drinking Fountain, Dog Fountain",7 a.m. to 10 p.m.,836,None,"{""coordinates"": [[-79.3628923732482, 43.6607356676187]], ""type"": ""MultiPoint""}"
70,188,543,2841,Thomson Memorial Park,1005 Brimley Rd,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=543,Yes,Full,No,Yes,Grass,Yes,"Drinking Fountain, Dog Fountain",7 a.m. to 11 p.m.,20653,None,"{""coordinates"": [[-79.2528439377587, 43.7566235638521]], ""type"": ""MultiPoint""}"
71,189,204,24984,Clarence Square Park,25 Clarence Sq,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=204,No,Full,Yes,No,Pea Gravel,Yes,"Bottle Filling Station, Dog Fountain",6 a.m. to midnight,1970,None,"{""coordinates"": [[-79.3935967665531, 43.6439532097291]], ""type"": ""MultiPoint""}"
72,190,4,48922,Colonel Danforth Park,240 Old Kingston Rd,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=4,Yes,Full,No,Yes,Pea Gravel,None,None,6 a.m. to 10 p.m.,3476,None,"{""coordinates"": [[-79.1774222080451, 43.7789976363015]], ""type"": ""MultiPoint""}"
73,191,200,80583,Sir Winston Churchill Park,301 St Clair Ave W,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=200,Yes,Full,No,No,Choker Sand,Yes,Dog Fountain,6 a.m. to 11 p.m.,1812,None,"{""coordinates"": [[-79.4098444556462, 43.68251880963]], ""type"": ""MultiPoint""}"
